WorkTimeInSeconds...1,multiplier,amount,age,gender,income,WorkTimeInSeconds...7,"Q3_1 On a scale of 0 to 100, how would you describe your political views?","Q8_1 On a scale of 0 to 100, how would you describe your religious orientation?","Q5 In the 2016 Presidential election, who did you vote for?",Q9 What State do you live in?,Q7 Do you consider yourself a:,"Q8 Aside from weddings and funerals, how often do you attend religious services?",batch
60,1.83,0.4,40-49,Female,"Over $100,000",76,55,15,Donald Trump,MD,Republican,Seldom,g
96,0.37,0,30-39,Male,"$40,000 - $59,999",59.5,88,0,Hillary Clinton,CA,Democrat,Never,g
208,0.35,0.5,60-69,Male,"Under $20,000",62,100,0,Someone else,MO,Democrat,Never,g
91,1.32,0.2,18-29,Female,"$60,000 - $79,999",48,82,15,Hillary Clinton,WA,Democrat,Never,g
86,1.58,0,40-49,Male,"$20,000 - $39,999",58,0,76,Someone else,MN,Republican,Once a week,g
264,0.67,1,40-49,Male,"Under $20,000",87,60,50,Didn't vote,IN,Democrat,Seldom,g
96,1.4,0,40-49,Female,"Over $100,000",73.5,52.5,13.5,Donald Trump,IL,Republican,A few times a year,f
619,1.47,0,30-39,Female,"$40,000 - $59,999",2999,51,11,Didn't vote,WI,Independent,Never,f
179,1.93,1,18-29,Female,"$60,000 - $79,999",118.5,57.5,54.5,Donald Trump,NC,Republican,Once or twice a month,f
90,0.22,0.5,30-39,Female,"$20,000 - $39,999",41,79,13,Hillary Clinton,MS,Democrat,Never,f
156,1.91,0.05,30-39,Female,"$40,000 - $59,999",30,50,0,Hillary Clinton,CA,Independent,Never,f
68,1.87,0.4,30-39,Female,"Over $100,000",35,71,35,Hillary Clinton,OH,Democrat,Never,f
354,0.45,0.2,30-39,Male,"$20,000 - $39,999",103,81,78,Donald Trump,FL,Republican,Once a week,f
810,1.96,0,18-29,Male,"$80,000 - $99,999",60.5,68,36.5,Hillary Clinton,NJ,Democrat,Never,f
190,0.36,1,50-59,Male,"Under $20,000",46,73,0,Hillary Clinton,AL,Democrat,Never,f
466,1.98,0.2,50-59,Female,"$80,000 - $99,999",627,81,20,Hillary Clinton,AZ,Democrat,Seldom,f
189,1.54,0.2,50-59,Female,"$40,000 - $59,999",84,40,86,Didn't vote,AZ,Republican,A few times a year,f
366,0.78,0.2,60-69,Female,"$60,000 - $79,999",256,15,80,Donald Trump,PA,Republican,Once a week,f
155,1.44,0.4,40-49,Male,"$20,000 - $39,999",88,95,0,Hillary Clinton,FL,Democrat,Never,f
75,1.16,1,18-29,Male,"$40,000 - $59,999",2298,71,64,Donald Trump,TX,Republican,Once a week,f
168,1.78,0.6,50-59,Female,"Under $20,000",153,45,1,Someone else,IN,Independent,Never,f
78,1.95,1,50-59,Male,"$20,000 - $39,999",55,66.5,2.5,Hillary Clinton,KY,Democrat,Never,f
85,0.19,0,30-39,Female,"$60,000 - $79,999",49,92,7,Hillary Clinton,MD,Democrat,Seldom,f
152,0.99,0,18-29,Female,"Under $20,000",82,82,0,Hillary Clinton,NY,Democrat,Seldom,f
84,0.23,1,30-39,Male,"$60,000 - $79,999",55,63,0,Hillary Clinton,KY,Democrat,Never,f
124,0.14,0,50-59,Female,"Over $100,000",41,85,66,Hillary Clinton,IA,Democrat,More than once a week,f
56,1.57,0,18-29,Male,"Over $100,000",38.5,60,15.5,Hillary Clinton,AL,Democrat,Never,f
68,1.72,1,30-39,Male,"$60,000 - $79,999",29,1,81,Donald Trump,CT,Republican,Never,f
73,1.82,0.2,18-29,Male,"$40,000 - $59,999",34,57,40,Donald Trump,WA,Independent,A few times a year,f
1298,1.97,0.6,18-29,Male,"$40,000 - $59,999",1456,78,66,Hillary Clinton,AL,Democrat,Seldom,f
109,0.26,0,30-39,Female,"$20,000 - $39,999",56.5,80,12,Hillary Clinton,TX,Democrat,Never,f
165,1.88,0.2,18-29,Female,Prefer not to state,111,76,0,Hillary Clinton,PA,Independent,Never,f
1595,1.35,1,30-39,Female,"$20,000 - $39,999",66.5,58,62.5,Didn't vote,WI,Democrat,Never,f
133,1.09,1,40-49,Female,"$20,000 - $39,999",126,0,1,Didn't vote,MA,Independent,Never,f
142,0.69,0.2,30-39,Male,"$20,000 - $39,999",335,70.5,41,Donald Trump,TX,Democrat,Once a week,f
100,1.97,0.05,40-49,Female,"$40,000 - $59,999",413,62,71,Donald Trump,IL,Democrat,A few times a year,f
56,0.83,1,50-59,Male,"Over $100,000",36,61,10,Didn't vote,FL,Independent,Never,f
139,0.75,0,40-49,Male,"Over $100,000",45,40,0,Donald Trump,IL,Republican,Never,f
111,0.54,1,30-39,Male,"Over $100,000",58,68,0,Hillary Clinton,CO,Independent,Never,f
49,0.62,0.4,30-39,Female,"Over $100,000",36,19,60,Donald Trump,NC,Republican,Once or twice a month,f
158,1.12,0.4,40-49,Female,"Over $100,000",59,8,16,Someone else,CA,Republican,A few times a year,f
262,1.42,0.13,18-29,Male,"Under $20,000",201,71,71,Donald Trump,TX,Independent,Once a week,f
96,1.13,0,30-39,Male,"$60,000 - $79,999",41,19,98,Someone else,OH,Republican,More than once a week,f
205,1.91,0.5,18-29,Male,"$40,000 - $59,999",870,51,51,Didn't vote,TN,Democrat,Never,f
256,0.38,1,70 or over,Female,"$20,000 - $39,999",96,0,100,Donald Trump,KY,Republican,More than once a week,f
49,0.79,0,30-39,Female,"$60,000 - $79,999",42,50.5,13,Didn't vote,WI,Independent,Never,f
68,0.92,0,40-49,Female,"Over $100,000",52,67,0,Hillary Clinton,MI,Democrat,Never,f
106,1.01,0.2,50-59,Female,"$60,000 - $79,999",50.5,40,54.5,Didn't vote,FL,Independent,Never,f
170,1.25,0.6,30-39,Female,"$40,000 - $59,999",65,8,100,Didn't vote,CA,Republican,More than once a week,f
78,1.77,1,30-39,Female,"$80,000 - $99,999",41,30.5,31,Hillary Clinton,CA,Democrat,Never,f
87,0.6,0,60-69,Female,"Over $100,000",49,100,0,Hillary Clinton,MD,Democrat,Never,f
119,0.62,0.5,18-29,Female,"$60,000 - $79,999",131,51,51,Donald Trump,TX,Republican,Seldom,f
82,1.41,0.4,50-59,Female,"$40,000 - $59,999",45,100,0,Didn't vote,WA,Democrat,Never,f
187,0.99,0,18-29,Male,"$60,000 - $79,999",47.5,66,2,Hillary Clinton,KY,Democrat,Never,f
50,0.55,0,30-39,Male,"$40,000 - $59,999",34,66,36,Didn't vote,IL,Independent,Seldom,f
334,0.57,0,18-29,Male,"Over $100,000",42.5,73,0,Hillary Clinton,CA,Democrat,Never,f
444,1.66,0.165,18-29,Male,"$80,000 - $99,999",311,85,95,Donald Trump,TX,Republican,Once a week,f
151,1.15,0.23,18-29,Female,"$20,000 - $39,999",285,87,64,Donald Trump,TX,Independent,A few times a year,f
173,1.38,0.2,18-29,Female,"Under $20,000",98,76,23,Didn't vote,PA,Independent,Never,f
57,0.79,0,18-29,Male,"$80,000 - $99,999",205,73,69.5,Donald Trump,TX,Republican,Once a week,f
115,0.47,0,30-39,Female,"$20,000 - $39,999",55.5,79,12,Hillary Clinton,NY,Democrat,Never,f
209,1.46,0.41,30-39,Male,"$20,000 - $39,999",59,70.5,7,Hillary Clinton,KY,Democrat,Never,f
632,1.63,1,18-29,Male,"$20,000 - $39,999",68.5,76,67.5,Hillary Clinton,AL,Democrat,Never,f
62,1.68,0,18-29,Male,"$40,000 - $59,999",31,46,22,Donald Trump,AL,Republican,Never,f
86,0.02,0,70 or over,Male,"$20,000 - $39,999",48,42,8,Donald Trump,TN,Independent,Never,f
137,1.52,0,30-39,Female,"$20,000 - $39,999",53,100,60,Hillary Clinton,NV,Democrat,Never,f
134,0.3,1,40-49,Female,Prefer not to state,104,51,70,Donald Trump,MI,Independent,A few times a year,f
1570,0.53,0.4,30-39,Female,"$60,000 - $79,999",1075,51,71,Donald Trump,IA,Independent,A few times a year,f
221,1.27,1,30-39,Male,"$20,000 - $39,999",461,72,83,Donald Trump,TX,Democrat,A few times a year,f
108,0.28,0,18-29,Female,"$20,000 - $39,999",69,51,51,Hillary Clinton,TX,Democrat,Seldom,f
117,1.21,1,50-59,Female,"Under $20,000",51.5,47.5,16,Didn't vote,FL,Independent,Never,f
198,1.03,1,40-49,Male,"$40,000 - $59,999",46,84,73,Donald Trump,TX,Republican,Once a week,f
106,1.14,0.5,40-49,Male,"$40,000 - $59,999",1654,68,62,Donald Trump,TX,Democrat,Once a week,f
541,0.6,0,18-29,Female,"$40,000 - $59,999",41,77,0,Hillary Clinton,CA,Democrat,Never,f
109,1.17,0.4,60-69,Female,"$80,000 - $99,999",88.5,30.5,69.5,Donald Trump,TX,Republican,Once a week,f
63,1.75,0,30-39,Female,"$60,000 - $79,999",51,50.5,8.5,Hillary Clinton,PA,Democrat,Never,f
55,0.05,1,18-29,Female,"$40,000 - $59,999",92,39.5,51,Donald Trump,TX,Republican,Once a week,f
140,0.4,0.4,40-49,Female,"Over $100,000",45.5,68.5,1.5,Hillary Clinton,MI,Democrat,Never,f
86,0.89,0.2,60-69,Female,"Over $100,000",39,99,4,Hillary Clinton,SC,Democrat,Never,f
111,0.71,0,30-39,Male,"$40,000 - $59,999",844,98,77,Hillary Clinton,FL,Democrat,Seldom,f
156,1.62,0.32,40-49,Male,"$60,000 - $79,999",73,78,80,Hillary Clinton,UT,Something else,Once a week,f
122,1.88,0.8,18-29,Male,"$60,000 - $79,999",52,76,53,Hillary Clinton,AL,Democrat,Never,f
32,1.15,0,18-29,Female,"Over $100,000",24,0,100,Donald Trump,CA,Republican,Once a week,f
214,0.58,1,18-29,Male,"$40,000 - $59,999",802,74,81,Didn't vote,TX,Democrat,Once a week,f
214,0.13,0.13,18-29,Male,"$20,000 - $39,999",209,72,69,Donald Trump,TX,Independent,Once a week,f
133,0.65,0,30-39,Male,"Under $20,000",454,0,78,Donald Trump,MO,Republican,Seldom,f
114,0.39,0,30-39,Female,"Under $20,000",65.5,51,7.5,Hillary Clinton,NY,Democrat,Never,f
90,1.62,1,18-29,Male,"$40,000 - $59,999",106,44,51,Hillary Clinton,AL,Republican,Once or twice a month,f
56,0.08,0,30-39,Male,"$80,000 - $99,999",31,45,2,Donald Trump,WI,Republican,A few times a year,f
944,1.15,0,18-29,Male,"Under $20,000",337,65,0,Hillary Clinton,OH,Democrat,Never,f
136,1.7,0.6,30-39,Male,"$60,000 - $79,999",500,73.5,63.5,Donald Trump,TX,Democrat,A few times a year,f
239,0.01,0,18-29,Male,"$20,000 - $39,999",32,78,29.5,Hillary Clinton,TX,Democrat,Never,f
98,0.91,0,30-39,Male,"$40,000 - $59,999",73,92,0,Hillary Clinton,CA,Democrat,Never,f
228,1.03,0,18-29,Female,"$60,000 - $79,999",44,64.5,37,Hillary Clinton,NY,Democrat,Never,f
74,0.14,0,18-29,Male,"$80,000 - $99,999",180,71.5,30,Donald Trump,TX,Republican,Once a week,f
90,1.49,0,30-39,Male,"$20,000 - $39,999",53.5,47.5,8,Hillary Clinton,CA,Democrat,Never,f
88,0.53,0,40-49,Male,"$40,000 - $59,999",52,100,5,Hillary Clinton,FL,Democrat,Never,f
117,0.78,0,30-39,Male,"$80,000 - $99,999",69,8,0,Donald Trump,FL,Republican,Never,f
117,0.41,0,18-29,Female,"Over $100,000",58,93,73,Didn't vote,NY,Democrat,A few times a year,f
1448,0.02,0.8,30-39,Female,"Over $100,000",2789,80,0,Didn't vote,MD,Democrat,Never,f
297,1.5,0,18-29,Male,"$20,000 - $39,999",109,86,0,Hillary Clinton,KY,Democrat,Never,f
84,1.46,0.4,30-39,Female,"Over $100,000",44,41,0,Hillary Clinton,PA,Republican,Never,f
105,0.3,0.2,30-39,Female,"$40,000 - $59,999",59,48,4,Donald Trump,PA,Republican,Never,f
201,1.04,1,30-39,Male,"$40,000 - $59,999",69,77,84,Donald Trump,TX,Republican,A few times a year,f
1105,1.32,0.8,18-29,Female,"Under $20,000",2760,94,0,Hillary Clinton,AL,Independent,Never,f
176,1.3,1,40-49,Male,"$20,000 - $39,999",65,2,95,Donald Trump,TX,Republican,Once or twice a month,f
116,1.92,1,30-39,Male,"$20,000 - $39,999",59,63.5,7,Hillary Clinton,KY,Democrat,Never,f
131,1.9,0.25,40-49,Female,"$40,000 - $59,999",39,60,0,Hillary Clinton,WA,Independent,Seldom,f
102,1.13,0.4,30-39,Male,"$20,000 - $39,999",63,91,0,Hillary Clinton,IN,Democrat,Never,f
95,1.68,0.8,18-29,Female,"Under $20,000",44,67.5,11.5,Hillary Clinton,PA,Independent,Never,f
180,0.45,0,18-29,Male,"$60,000 - $79,999",247,66,52,Donald Trump,TX,Independent,Once a week,f
167,0.49,0,30-39,Female,"$20,000 - $39,999",56.5,79,18,Hillary Clinton,TX,Democrat,Never,f
68,0.32,1,18-29,Male,"$40,000 - $59,999",47,60,0,Hillary Clinton,PA,Democrat,Never,f
466,1.67,0,18-29,Male,"$40,000 - $59,999",26,89,0,Hillary Clinton,NY,Democrat,Never,f
342,1.27,0.3,30-39,Female,"$20,000 - $39,999",47.5,55.5,59.5,Hillary Clinton,TX,Democrat,Seldom,f
71,1.58,0.32,30-39,Female,"Under $20,000",89,60,63,Didn't vote,GA,Democrat,Once a week,f
81,0.96,0.5,40-49,Female,"Over $100,000",920,93,0,Hillary Clinton,AL,Democrat,Never,f
122,0.65,0,18-29,Female,"$80,000 - $99,999",57,31,27,Hillary Clinton,NJ,Republican,Seldom,f
134,0.66,0,30-39,Female,"$60,000 - $79,999",41,100,0,Hillary Clinton,NC,Democrat,Never,f
12,0.03,1,70 or over,Male,"$80,000 - $99,999",159,100,100,Donald Trump,NJ,Republican,Once a week,f
78,1.82,0.1,30-39,Female,"$60,000 - $79,999",97,50,58,Didn't vote,MN,Independent,Never,f
502,0.27,0.2,30-39,Female,"$60,000 - $79,999",35,51,8,Didn't vote,MA,Independent,Seldom,f
121,1.32,0.4,40-49,Female,"$60,000 - $79,999",61,85,0,Hillary Clinton,CA,Democrat,Never,f
121,1.2,0,30-39,Male,"$20,000 - $39,999",101,19,0,Donald Trump,WA,Republican,Never,f
106,1.02,0,30-39,Male,"Under $20,000",49,10,92,Someone else,MS,Independent,Once a week,f
83,1.62,0,30-39,Male,"$80,000 - $99,999",39,40,71,Donald Trump,GA,Independent,A few times a year,f
1016,1.03,0,18-29,Female,"Under $20,000",306,100,0,Didn't vote,PA,Something else,Never,f
212,1.18,0,30-39,Male,"Over $100,000",40,86,0,Hillary Clinton,MI,Democrat,Never,f
132,1.06,1,50-59,Male,"$60,000 - $79,999",64,79,72,Someone else,UT,Independent,Once a week,f
107,1.72,0.25,30-39,Female,"Over $100,000",35,81,0,Didn't vote,GA,Democrat,Never,f
415,1.38,0,30-39,Male,"$40,000 - $59,999",29,50,0,Hillary Clinton,LA,Independent,Never,f
249,0.11,0.11,18-29,Male,"$20,000 - $39,999",205,79.5,60,Donald Trump,TX,Republican,Once a week,f
543,1.06,0,40-49,Male,"$60,000 - $79,999",645,91,0,Hillary Clinton,AZ,Democrat,Never,f
86,0.62,0.5,40-49,Female,"Over $100,000",328,13,39,Donald Trump,IL,Republican,A few times a year,f
689,1.02,0,30-39,Female,"$20,000 - $39,999",55,73,59,Hillary Clinton,TX,Democrat,Seldom,f
122,0.65,0.6,30-39,Male,"$60,000 - $79,999",100,88,14,Didn't vote,NY,Republican,Never,f
260,1.42,0.6,70 or over,Male,"$60,000 - $79,999",256,69,64,Donald Trump,TX,Republican,Once a week,f
227,1.1,0,30-39,Female,"Over $100,000",41,88,20,Didn't vote,KY,Democrat,Seldom,f
631,0.21,0,40-49,Male,"Under $20,000",2317,81,0,Hillary Clinton,CA,Independent,Never,f
84,0.76,0,18-29,Female,"$40,000 - $59,999",59.5,64,19,Hillary Clinton,NY,Democrat,Never,f
68,1.32,0,18-29,Female,"$40,000 - $59,999",31,100,0,Hillary Clinton,NY,Democrat,Never,f
93,1.53,0,40-49,Female,"Over $100,000",62,24,3,Donald Trump,CO,Republican,Never,f
1149,1.37,0,50-59,Male,"$20,000 - $39,999",55,100,0,Hillary Clinton,LA,Democrat,Never,f
89,1.81,1,30-39,Female,"$80,000 - $99,999",78,90,0,Hillary Clinton,NJ,Democrat,Never,f
1188,0.21,1,18-29,Male,"$20,000 - $39,999",28,84,0,Hillary Clinton,NC,Democrat,Never,f
291,1.9,0.2,18-29,Female,"$60,000 - $79,999",61,100,19,Hillary Clinton,AL,Democrat,A few times a year,f
124,0.16,0.2,30-39,Female,"$40,000 - $59,999",89,89,6,Hillary Clinton,PA,Democrat,Never,f
552,0.29,0,30-39,Female,"$40,000 - $59,999",1475,100,0,Hillary Clinton,NY,Democrat,Never,f
132,0.1,0,40-49,Female,"$60,000 - $79,999",46,71,0,Hillary Clinton,MI,Democrat,Never,f
78,1.39,0.2,18-29,Female,"$20,000 - $39,999",41,64,74,Hillary Clinton,WA,Democrat,Once a week,f
235,1.79,1,50-59,Female,"$20,000 - $39,999",65,51,24,Hillary Clinton,FL,Democrat,Never,f
98,0.53,1,40-49,Female,"$80,000 - $99,999",90,29,81,Hillary Clinton,NY,Republican,Once a week,f
249,0.79,0.4,30-39,Male,"$80,000 - $99,999",88,75,84,Someone else,AL,Democrat,Once a week,f
141,0.65,0.4,30-39,Male,"Under $20,000",59,65.5,7,Hillary Clinton,CA,Democrat,Never,f
236,0.11,0,30-39,Male,Prefer not to state,27,50,0,Didn't vote,MO,Independent,Never,f
553,1.43,0.5,30-39,Male,"Over $100,000",38,88,61,Hillary Clinton,TN,Democrat,Once a week,f
77,1.49,0,30-39,Female,"$40,000 - $59,999",31,81,45,Hillary Clinton,IN,Democrat,A few times a year,f
64,1.98,0,30-39,Female,"$40,000 - $59,999",67,93,5,Hillary Clinton,IL,Democrat,Never,f
839,1.63,0.25,50-59,Female,"$40,000 - $59,999",166,59,3,Someone else,WA,Independent,Seldom,f
157,1.01,0.4,50-59,Female,"$20,000 - $39,999",58,40,59,Didn't vote,FL,Independent,Seldom,f
18,0.42,0.6,60-69,Male,"$80,000 - $99,999",15,31,85,Donald Trump,TX,Republican,Once a week,f
977,1.81,0.5,18-29,Male,"$60,000 - $79,999",55,74.5,30,Hillary Clinton,AL,Democrat,Never,f
1306,0.65,1,40-49,Male,"$40,000 - $59,999",80,62,67,Donald Trump,TX,Something else,Once or twice a month,f
97,0.13,0.2,40-49,Female,"$20,000 - $39,999",71,100,71,Hillary Clinton,OH,Democrat,Seldom,f
169,1.19,1,30-39,Male,"$40,000 - $59,999",354,76.5,76,Donald Trump,TX,Republican,Once a week,f
55,0.24,1,40-49,Female,Prefer not to state,29,95,0,Hillary Clinton,CA,Democrat,Never,f
337,0.49,0.49,40-49,Male,"$60,000 - $79,999",82,61,67,Someone else,UT,Independent,Once or twice a month,f
69,0.95,1,40-49,Male,"Over $100,000",53.5,56,5,Hillary Clinton,AL,Democrat,Never,f
81,0.46,1,18-29,Female,"$80,000 - $99,999",48,41,10.5,Hillary Clinton,NJ,Democrat,Never,f
110,1.56,0.4,30-39,Female,"Over $100,000",39,100,0,Hillary Clinton,WI,Democrat,Seldom,f
56,1.79,0,30-39,Female,"$20,000 - $39,999",58,81,0,Hillary Clinton,MA,Independent,Never,f
107,1.93,0.6,50-59,Female,"$60,000 - $79,999",48.5,42.5,11.5,Hillary Clinton,NY,Democrat,Seldom,f
366,1.27,0,40-49,Male,"Over $100,000",55,43,66,Didn't vote,PA,Independent,Seldom,f
147,0.29,0.6,40-49,Female,"$20,000 - $39,999",65,51,19,Didn't vote,MI,Independent,Seldom,f
121,1.08,0.55,30-39,Male,"$40,000 - $59,999",59,91,8,Someone else,MA,Independent,Never,f
64,1.95,0,18-29,Male,"$40,000 - $59,999",49.5,76,45.5,Hillary Clinton,AL,Democrat,Never,f
187,1.82,1,30-39,Male,"$80,000 - $99,999",135.5,73.5,75.5,Donald Trump,TX,Republican,Once a week,f
87,1.39,1,18-29,Female,"Under $20,000",37,50,0,Didn't vote,FL,Independent,Never,f
427,0.43,0.1,18-29,Male,"$20,000 - $39,999",32,79.5,34.5,Hillary Clinton,TX,Democrat,Never,f
685,0.63,0,30-39,Female,"$40,000 - $59,999",34,100,0,Hillary Clinton,NY,Something else,Never,f
95,1.57,0.6,40-49,Female,"Over $100,000",45,70,29,Hillary Clinton,CO,Democrat,Seldom,f
345,1.01,1,30-39,Female,"$60,000 - $79,999",42,32,90,Donald Trump,NC,Independent,Once a week,f
97,1.18,1,40-49,Male,"$80,000 - $99,999",49,81,0,Hillary Clinton,AL,Democrat,Never,f
86,0.6,0,18-29,Female,"$80,000 - $99,999",39,71,39,Hillary Clinton,TX,Democrat,Never,f
72,1.98,0.2,50-59,Male,"$60,000 - $79,999",36,81,0,Hillary Clinton,UT,Democrat,Never,f
355,1.94,0,30-39,Male,"$40,000 - $59,999",43,68,66,Hillary Clinton,NJ,Democrat,A few times a year,f
106,0.78,0.5,18-29,Male,"Under $20,000",27,82,0,Hillary Clinton,PA,Democrat,Never,f
229,1.33,0.8,40-49,Male,"$40,000 - $59,999",1249,76,77,Donald Trump,NY,Republican,Once a week,f
90,0.81,0.2,18-29,Female,"Over $100,000",71,28,21,Donald Trump,FL,Republican,Never,f
75,1.95,1,30-39,Female,"$80,000 - $99,999",41,81,0,Hillary Clinton,IA,Independent,Never,f
267,1.22,0.12,18-29,Male,"$60,000 - $79,999",52,66,2,Hillary Clinton,KY,Democrat,Never,f
118,0.38,1,30-39,Female,Prefer not to state,1359,14,51,Donald Trump,NC,Republican,A few times a year,f
117,0.09,0.2,18-29,Male,"$20,000 - $39,999",247,78,57.5,Donald Trump,TX,Independent,Once a week,f
143,1.94,0,18-29,Female,"$60,000 - $79,999",64.5,57.5,35,Didn't vote,AL,Democrat,Never,f
66,0.8,0,18-29,Female,"$60,000 - $79,999",32,29,100,Someone else,OH,Republican,More than once a week,f
75,1.96,0,30-39,Male,"$20,000 - $39,999",32,55,5,Donald Trump,IL,Democrat,Seldom,f
158,1.54,0,30-39,Male,"$40,000 - $59,999",49.5,70.5,0,Hillary Clinton,CA,Democrat,Never,d
83,0.18,0,30-39,Female,"$60,000 - $79,999",52.5,82,13,Hillary Clinton,KY,Democrat,Never,d
83,0.13,0.2,18-29,Female,"Under $20,000",52,100,19,Hillary Clinton,AZ,Democrat,Seldom,d
87,1.98,0.5,30-39,Female,"$60,000 - $79,999",59,39,30,Donald Trump,OR,Republican,A few times a year,d
