"WorkTimeInSeconds...1","multiplier","amount","age","gender","income","WorkTimeInSeconds...7","Q3_1.On.a.scale.of.0.to.100..how.would.you.describe.your.political.views.","Q8_1.On.a.scale.of.0.to.100..how.would.you.describe.your.religious.orientation.","Q5.In.the.2016.Presidential.election..who.did.you.vote.for.","Q9.What.State.do.you.live.in.","Q7.Do.you.consider.yourself.a.","Q8.Aside.from.weddings.and.funerals..how.often.do.you.attend.religious.services.","batch"
150,1.58,0.4,"60-69","Female","$80,000 - $99,999",60,46,92,"Didn't vote","PA","Independent","Once or twice a month","g"
96,1.69,0.6,"18-29","Male","$60,000 - $79,999",49,100,0,"Hillary Clinton","CO","Democrat","Never","g"
111,0.15,0,"30-39","Female","$60,000 - $79,999",383,91,0,"Hillary Clinton","IL","Democrat","Never","g"
309,1.83,0.5,"30-39","Female","Under $20,000",64,82,0,"Hillary Clinton","NY","Democrat","Never","g"
92,0.17,0.9,"30-39","Male","Under $20,000",41,60,33,"Hillary Clinton","NC","Independent","Never","g"
85,1.36,0,"30-39","Female","Over $100,000",37,100,0,"Hillary Clinton","NH","Democrat","Never","g"
118,1.17,0.6,"50-59","Male","Under $20,000",48,0,14,"Donald Trump","RI","Republican","A few times a year","g"
412,0.58,0.46,"30-39","Male","$60,000 - $79,999",539,73,70,"Donald Trump","TX","Democrat","Once or twice a month","g"
250,0.18,0,"50-59","Male","$80,000 - $99,999",34,100,8,"Hillary Clinton","IL","Democrat","Seldom","g"
766,0.85,0.4,"40-49","Female","$40,000 - $59,999",67,88,0,"Hillary Clinton","CO","Democrat","Never","g"
102,0.29,0.1,"30-39","Female","$20,000 - $39,999",47,60,19,"Donald Trump","MO","Independent","A few times a year","g"
134,0.81,0,"18-29","Female","$20,000 - $39,999",19,100,0,"Hillary Clinton","TX","Democrat","Never","g"
138,1.97,1,"60-69","Male","Under $20,000",114,96,28,"Hillary Clinton","GA","Democrat","Never","g"
62,0.47,1,"30-39","Female","$60,000 - $79,999",42,32,90,"Donald Trump","NC","Independent","Once a week","g"
1280,1.76,0,"50-59","Female","Under $20,000",172,60,0,"Didn't vote","IL","Democrat","Never","g"
54,1.61,0.2,"18-29","Male","$60,000 - $79,999",36,44,9,"Didn't vote","LA","Independent","Never","g"
364,0.36,0.08,"18-29","Male","$60,000 - $79,999",2524,96,93,"Hillary Clinton","TX","Democrat","Once a week","g"
205,0.4,0.6,"50-59","Male","$60,000 - $79,999",100,60,82,"Donald Trump","SC","Independent","Seldom","g"
144,0.68,1,"40-49","Male","$40,000 - $59,999",2575,19,0,"Hillary Clinton","IL","Democrat","Never","g"
221,1.17,0,"40-49","Female","$20,000 - $39,999",65,60,13,"Hillary Clinton","NY","Democrat","Never","g"
119,1.16,0,"40-49","Male","$40,000 - $59,999",49,20,53,"Donald Trump","VA","Republican","A few times a year","g"
178,0.66,0,"18-29","Male","Over $100,000",78,96,22,"Hillary Clinton","NY","Democrat","Seldom","g"
85,0.78,0,"40-49","Male","Over $100,000",74,86,85,"Hillary Clinton","NC","Democrat","A few times a year","g"
140,0.98,0.2,"40-49","Female","Over $100,000",82,91,84,"Didn't vote","IL","Democrat","Never","g"
80,0.81,0,"18-29","Female","$80,000 - $99,999",37,76,14,"Hillary Clinton","NY","Democrat","Seldom","g"
92,0.21,0,"30-39","Male","$40,000 - $59,999",33,95,0,"Someone else","CA","Independent","Never","g"
171,0.15,0.15,"18-29","Female","$40,000 - $59,999",52,68,56,"Donald Trump","0","Independent","A few times a year","g"
121,1.29,0,"40-49","Male","$20,000 - $39,999",30,58,58,"Hillary Clinton","FL","Democrat","A few times a year","g"
157,0.08,0,"40-49","Female","$20,000 - $39,999",98,42,0,"Donald Trump","MS","Republican","Never","g"
76,0.36,0,"50-59","Male","$40,000 - $59,999",68,51,1,"Donald Trump","FL","Independent","Never","g"
75,0.38,0,"30-39","Male","$40,000 - $59,999",36,95,9,"Hillary Clinton","MI","Independent","Seldom","g"
89,1.11,0.1,"30-39","Female","$80,000 - $99,999",42,36,8,"Donald Trump","NY","Republican","Seldom","g"
139,1.34,0.5,"30-39","Male","$60,000 - $79,999",2968,70,9,"Hillary Clinton","KY","Democrat","A few times a year","g"
117,0.99,0.1,"40-49","Female","$60,000 - $79,999",98,58,11,"Didn't vote","CA","Democrat","Seldom","g"
104,1.34,0.4,"18-29","Female","$20,000 - $39,999",125,78,0,"Hillary Clinton","CA","Democrat","Never","g"
60,0.15,1,"18-29","Other","$80,000 - $99,999",55,29,65,"Donald Trump","CA","Republican","Once a week","g"
75,0.17,0,"40-49","Male","Under $20,000",753,76,0,"Hillary Clinton","CA","Democrat","Never","g"
55,1.47,0.15,"18-29","Female","Under $20,000",30,50,0,"Didn't vote","FL","Something else","Never","g"
81,1.48,0,"40-49","Male","Under $20,000",55,31,9,"Hillary Clinton","VA","Independent","Never","g"
237,0.97,0,"18-29","Male","$20,000 - $39,999",52,100,0,"Someone else","VA","Independent","Never","g"
178,1.42,0.5,"50-59","Male","Under $20,000",105,70,3,"Hillary Clinton","MO","Democrat","Never","g"
42,1.61,0.4,"30-39","Female","$80,000 - $99,999",118,78,16,"Hillary Clinton","MN","Democrat","Seldom","g"
81,1.3,0,"18-29","Male","$60,000 - $79,999",41,17,24,"Donald Trump","FL","Republican","Seldom","g"
65,0.06,0,"30-39","Female","$60,000 - $79,999",154,83,19,"Hillary Clinton","KY","Democrat","Seldom","g"
99,0.63,0,"30-39","Male","Under $20,000",81,100,14,"Hillary Clinton","MN","Democrat","Never","g"
165,0.88,0.6,"18-29","Male","$20,000 - $39,999",90,81,0,"Hillary Clinton","MO","Independent","Never","g"
109,2,0.1,"18-29","Male","$20,000 - $39,999",32,91,0,"Didn't vote","OK","Democrat","Never","g"
107,0.98,0.4,"30-39","Female","$40,000 - $59,999",46,96,87,"Hillary Clinton","TX","Democrat","Seldom","g"
331,1.72,0.5,"30-39","Female","$80,000 - $99,999",63,100,0,"Hillary Clinton","SC","Democrat","Never","g"
121,0.81,0,"30-39","Male","$40,000 - $59,999",37,100,0,"Hillary Clinton","LA","Democrat","Never","g"
59,1.59,0,"18-29","Male","$20,000 - $39,999",36,80,0,"Hillary Clinton","AZ","Democrat","Never","g"
48,0.04,0,"30-39","Female","$20,000 - $39,999",31,62,0,"Didn't vote","NY","Independent","Never","g"
704,0.49,0.5,"30-39","Male","$40,000 - $59,999",2444,81,100,"Hillary Clinton","OR","Democrat","Once a week","g"
293,0.05,1,"30-39","Male","$20,000 - $39,999",461,72,83,"Donald Trump","TX","Democrat","A few times a year","g"
368,0.11,0,"30-39","Male","$60,000 - $79,999",67,100,0,"Hillary Clinton","WI","Democrat","Never","g"
84,1.34,0.2,"30-39","Male","$80,000 - $99,999",53,90,0,"Hillary Clinton","PA","Democrat","Never","g"
1348,1.51,0.4,"30-39","Male","$60,000 - $79,999",108,71,0,"Someone else","TN","Independent","Never","g"
91,1.91,0.5,"30-39","Male","$40,000 - $59,999",3092,63,22,"Didn't vote","SC","Independent","Seldom","g"
375,0.59,0,"30-39","Male","$40,000 - $59,999",1676,73,63,"Donald Trump","OH","Democrat","Once a week","g"
94,1.14,0.25,"30-39","Male","$80,000 - $99,999",48,95,94,"Hillary Clinton","OK","Democrat","Once a week","g"
130,0.9,0.4,"30-39","Female","$80,000 - $99,999",64,9,92,"Donald Trump","TX","Republican","Once a week","g"
49,0.32,0,"30-39","Female","$80,000 - $99,999",39,1,0,"Donald Trump","FL","Republican","Never","g"
164,0.86,0,"50-59","Female","$80,000 - $99,999",97,85,82,"Didn't vote","MI","Something else","A few times a year","g"
296,1.16,0.4,"60-69","Female","$20,000 - $39,999",100,79,51,"Hillary Clinton","FL","Democrat","A few times a year","g"
63,1.92,0,"18-29","Male","$80,000 - $99,999",15,16,65,"Donald Trump","MO","Republican","Once or twice a month","g"
616,0.72,1,"30-39","Female","Under $20,000",28,71,0,"Hillary Clinton","GA","Democrat","Never","g"
71,1.66,0,"18-29","Female","Over $100,000",30,100,0,"Hillary Clinton","TX","Democrat","Never","g"
451,0.71,0,"18-29","Other","Under $20,000",40,100,0,"Hillary Clinton","PA","Democrat","Never","g"
317,1.32,0,"18-29","Female","$60,000 - $79,999",133,93,11,"Hillary Clinton","CT","Democrat","Seldom","g"
108,1.54,0.5,"18-29","Female","$20,000 - $39,999",601,80,0,"Hillary Clinton","RI","Democrat","Never","g"
88,1.82,1,"30-39","Female","$60,000 - $79,999",36,91,0,"Hillary Clinton","WI","Democrat","Never","g"
46,1.51,0,"30-39","Female","Under $20,000",25,51,69,"Didn't vote","SC","Independent","A few times a year","g"
226,0.13,1,"18-29","Male","Over $100,000",30,96,39,"Hillary Clinton","IA","Democrat","A few times a year","g"
101,1.8,0.2,"18-29","Female","Over $100,000",38,21,65,"Donald Trump","FL","Republican","A few times a year","g"
116,0.02,0.5,"18-29","Female","$40,000 - $59,999",131,51,51,"Donald Trump","TX","Republican","Seldom","g"
917,1.23,0.4,"18-29","Male","$20,000 - $39,999",32,38,9,"Someone else","WA","Independent","A few times a year","g"
77,1.1,0,"60-69","Female","$60,000 - $79,999",64,95,22,"Hillary Clinton","PA","Democrat","A few times a year","g"
87,0.13,0,"18-29","Male","$40,000 - $59,999",89,92,50,"Didn't vote","SC","Democrat","Seldom","g"
100,1.01,0,"50-59","Female","$20,000 - $39,999",141,90,0,"Hillary Clinton","MD","Democrat","Never","g"
1529,1.96,0,"18-29","Male","Over $100,000",1204,60,0,"Donald Trump","MI","Democrat","Never","g"
166,0.99,0,"40-49","Male","$40,000 - $59,999",52,92,0,"Hillary Clinton","MN","Democrat","Never","g"
59,0.92,0.2,"18-29","Female","Over $100,000",800,86,58,"Hillary Clinton","MD","Independent","A few times a year","g"
178,1.94,0.4,"30-39","Male","$60,000 - $79,999",153,46,65,"Someone else","TX","Independent","Seldom","g"
155,1.34,0.25,"50-59","Female","$20,000 - $39,999",76,89,1,"Hillary Clinton","MD","Democrat","Never","g"
234,0.23,1,"18-29","Male","$60,000 - $79,999",106,89,71,"Hillary Clinton","AL","Independent","Once or twice a month","g"
70,1.37,0.4,"40-49","Female","$40,000 - $59,999",34,13,99,"Donald Trump","MI","Republican","Once a week","g"
284,1.56,0,"30-39","Male","$80,000 - $99,999",2467,50,0,"Hillary Clinton","CA","Democrat","Never","g"
88,0.96,0,"18-29","Female","Under $20,000",68,55,4,"Didn't vote","OR","Democrat","Never","g"
35,2,0,"40-49","Female","$80,000 - $99,999",44,7,100,"Donald Trump","ME","Republican","More than once a week","g"
180,0.89,0.53,"30-39","Female","$60,000 - $79,999",64,69,73,"Donald Trump","FL","Republican","Once or twice a month","g"
231,1.28,0.2,"18-29","Male","$20,000 - $39,999",33,40,81,"Didn't vote","MD","Independent","Seldom","g"
321,0.73,1,"18-29","Male","$40,000 - $59,999",106,44,51,"Hillary Clinton","AL","Republican","Once or twice a month","g"
179,0.6,1,"30-39","Female","$20,000 - $39,999",68,81,1,"Donald Trump","SC","Republican","Seldom","g"
158,1.87,0,"18-29","Female","$60,000 - $79,999",42,92,0,"Hillary Clinton","CA","Democrat","Never","g"
213,0.16,1,"18-29","Male","$60,000 - $79,999",34,71,15,"Someone else","CA","Democrat","Never","g"
1321,0.79,0,"18-29","Female","$40,000 - $59,999",52,78,78,"Didn't vote","FL","Democrat","Seldom","g"
91,1.74,0.4,"30-39","Female","$60,000 - $79,999",770,51,9,"Didn't vote","WI","Independent","Never","g"
87,0.4,0,"18-29","Female","$80,000 - $99,999",21,85,15,"Hillary Clinton","CA","Democrat","Once or twice a month","g"
255,1.38,0.4,"60-69","Female","Under $20,000",116,30,81,"Didn't vote","WA","Independent","Once a week","g"
53,2,0.5,"18-29","Female","$20,000 - $39,999",454,86,78,"Someone else","ID","Republican","More than once a week","g"
833,0.01,0,"18-29","Male","$40,000 - $59,999",201,75,0,"Hillary Clinton","NJ","Independent","Never","g"
71,1.69,0,"18-29","Male","$20,000 - $39,999",41,20,0,"Donald Trump","CA","Republican","Seldom","g"
68,1.23,0,"18-29","Female","$40,000 - $59,999",378,81,18,"Didn't vote","PA","Independent","Seldom","g"
87,0.93,0,"30-39","Female","Over $100,000",505,91,0,"Hillary Clinton","WA","Independent","Never","g"
71,1.75,0,"40-49","Female","Over $100,000",37,78,13,"Hillary Clinton","LA","Independent","Seldom","g"
1718,0.11,1,"18-29","Male","$40,000 - $59,999",1443,61,59,"Donald Trump","CA","Democrat","Once a week","g"
138,1.98,0.5,"60-69","Female","Under $20,000",54,81,86,"Hillary Clinton","PA","Democrat","A few times a year","g"
70,1.32,1,"30-39","Male","$80,000 - $99,999",154,84,98,"Donald Trump","TX","Republican","Once a week","g"
167,0.69,0.2,"40-49","Female","$40,000 - $59,999",378,24,71,"Donald Trump","IL","Republican","A few times a year","g"
47,0.32,0.8,"30-39","Female","$60,000 - $79,999",23,100,81,"Hillary Clinton","TX","Democrat","Once or twice a month","g"
93,0.57,0,"30-39","Female","$20,000 - $39,999",223,30,0,"Donald Trump","CA","Independent","Never","g"
548,0.19,0,"40-49","Female","$60,000 - $79,999",47,82,0,"Hillary Clinton","PA","Democrat","Never","g"
94,1.06,0.5,"30-39","Male","$40,000 - $59,999",52,10,9,"Didn't vote","TX","Independent","Never","g"
103,0.75,0.6,"60-69","Male","Under $20,000",71,50,85,"Donald Trump","OH","Independent","Never","g"
106,1.54,0.5,"18-29","Female","Over $100,000",254,45,89,"Donald Trump","IL","Independent","Once a week","g"
77,1.74,1,"50-59","Female","Over $100,000",32,51,9,"Hillary Clinton","NY","Independent","Seldom","g"
102,0.77,0.2,"30-39","Female","$80,000 - $99,999",36,54,9,"Hillary Clinton","OR","Republican","Never","g"
66,0.67,0,"30-39","Female","Over $100,000",34,55,0,"Donald Trump","FL","Independent","Never","g"
131,1.06,0,"30-39","Male","$40,000 - $59,999",36,73,0,"Hillary Clinton","IL","Democrat","Never","g"
117,1.92,0,"18-29","Female","$20,000 - $39,999",47,69,0,"Someone else","IN","Democrat","Never","g"
134,1.11,0.4,"30-39","Male","$60,000 - $79,999",2219,46,66,"Donald Trump","SC","Republican","Once or twice a month","g"
98,0.84,1,"50-59","Male","$60,000 - $79,999",78,4,35,"Donald Trump","FL","Republican","Never","g"
76,1.37,0.1,"30-39","Male","$40,000 - $59,999",39,9,0,"Donald Trump","PA","Republican","Never","g"
150,0.76,0.2,"30-39","Female","$80,000 - $99,999",97,40,86,"Hillary Clinton","NC","Democrat","Seldom","g"
35,1.85,0,"30-39","Female","$40,000 - $59,999",928,96,89,"Hillary Clinton","GA","Democrat","Once or twice a month","g"
73,1.63,0.3,"18-29","Female","$80,000 - $99,999",96,68,45,"Hillary Clinton","SC","Independent","A few times a year","g"
48,1.64,0.4,"30-39","Female","Over $100,000",36,100,0,"Someone else","MI","Democrat","Never","g"
94,0.24,1,"18-29","Female","$20,000 - $39,999",73,86,9,"Hillary Clinton","IN","Democrat","Seldom","g"
257,1.06,0.35,"18-29","Male","$40,000 - $59,999",38,19,84,"Someone else","IN","Republican","Once a week","g"
253,0.95,0.2,"18-29","Female","Under $20,000",38,81,10,"Hillary Clinton","LA","Democrat","Seldom","g"
94,0.06,0,"18-29","Male","$40,000 - $59,999",48,58,0,"Someone else","TN","Independent","Never","g"
80,0.39,1,"40-49","Male","$40,000 - $59,999",41,0,100,"Donald Trump","KY","Republican","More than once a week","g"
184,1.34,0,"30-39","Male","$20,000 - $39,999",104,100,0,"Hillary Clinton","MO","Democrat","Never","g"
89,1.32,0.5,"30-39","Female","$40,000 - $59,999",383,13,71,"Donald Trump","TX","Republican","Once or twice a month","g"
119,1.32,0,"40-49","Female","Over $100,000",81,9,20,"Donald Trump","DE","Republican","A few times a year","g"
94,1.14,0.4,"60-69","Female","$20,000 - $39,999",49,83,0,"Hillary Clinton","WA","Democrat","Never","g"
67,1.23,0,"30-39","Male","$20,000 - $39,999",56,93,0,"Hillary Clinton","NC","Democrat","Never","g"
81,0.82,1,"30-39","Male","$60,000 - $79,999",61,88,65,"Donald Trump","SC","Republican","Seldom","g"
102,1.13,0,"60-69","Female","$20,000 - $39,999",73,42,20,"Donald Trump","FL","Independent","Seldom","g"
138,1.81,0.3,"40-49","Female","$40,000 - $59,999",66,75,86,"Hillary Clinton","PA","Democrat","Once a week","g"
70,1.12,0.4,"30-39","Male","Under $20,000",28,56,0,"Donald Trump","NC","Independent","Never","g"
87,1.65,1,"30-39","Male","$80,000 - $99,999",71,100,40,"Someone else","TX","Democrat","Seldom","g"
105,1.04,0.45,"30-39","Male","$20,000 - $39,999",53,44,75,"Didn't vote","MI","Independent","Never","g"
94,1.84,1,"40-49","Female","$40,000 - $59,999",77,9,71,"Donald Trump","VA","Republican","A few times a year","g"
86,1.4,0.4,"18-29","Female","Under $20,000",39,100,1,"Hillary Clinton","WA","Democrat","Never","g"
263,0.4,0,"30-39","Male","$40,000 - $59,999",950,81,0,"Hillary Clinton","VA","Independent","Never","g"
88,0.58,0.5,"30-39","Female","Over $100,000",96,51,100,"Donald Trump","TX","Independent","Once a week","g"
50,1.5,1,"60-69","Male","Over $100,000",97,8,81,"Donald Trump","NC","Republican","A few times a year","g"
253,1.52,0,"30-39","Male","Under $20,000",1024,50,0,"Didn't vote","MI","Independent","Never","g"
425,1.44,0.6,"30-39","Female","$40,000 - $59,999",110,85,84,"Hillary Clinton","PA","Democrat","Once or twice a month","g"
117,0.78,0.2,"30-39","Male","$20,000 - $39,999",821,100,0,"Hillary Clinton","OR","Democrat","Never","g"
120,1.45,0.4,"18-29","Male","$20,000 - $39,999",53,83,9,"Didn't vote","NV","Democrat","Never","g"
89,1.29,0.5,"40-49","Male","Over $100,000",32,19,0,"Donald Trump","CO","Republican","Never","g"
305,1.03,0.2,"30-39","Female","$20,000 - $39,999",36,61,30,"Hillary Clinton","OR","Democrat","A few times a year","g"
196,1.7,0,"18-29","Male","Under $20,000",325,43,25,"Donald Trump","NY","Independent","A few times a year","g"
919,1.28,0,"30-39","Male","$80,000 - $99,999",156,77,0,"Someone else","MN","Democrat","Never","g"
56,0.29,0.6,"18-29","Female","$20,000 - $39,999",52,95,0,"Hillary Clinton","OR","Democrat","A few times a year","g"
814,0.66,0.1,"18-29","Male","$20,000 - $39,999",1399,83,88,"Someone else","TX","Independent","Once a week","g"
765,0.22,1,"30-39","Male","$60,000 - $79,999",65,72,3,"Didn't vote","CA","Independent","Never","g"
83,0.23,0,"18-29","Male","$20,000 - $39,999",50,50,11,"Donald Trump","NY","Republican","Seldom","g"
93,0.23,0,"50-59","Male","$20,000 - $39,999",413,9,71,"Donald Trump","CA","Republican","Once or twice a month","g"
1602,0.03,0,"30-39","Female","$20,000 - $39,999",1253,49,64,"Donald Trump","TX","Democrat","Once a week","g"
1705,0.68,0,"18-29","Female","Under $20,000",1443,100,26,"Hillary Clinton","PA","Democrat","Never","g"
139,1.41,0.2,"18-29","Male","$40,000 - $59,999",70,63,19,"Hillary Clinton","CA","Independent","Never","g"
87,1.82,0,"18-29","Male","$60,000 - $79,999",41,88,9,"Someone else","CA","Independent","Never","g"
113,0.5,0,"18-29","Male","$40,000 - $59,999",127,19,0,"Donald Trump","NJ","Republican","Seldom","g"
94,1.65,1,"30-39","Female","$20,000 - $39,999",53,72,67,"Hillary Clinton","CA","Independent","A few times a year","g"
145,0.72,0,"30-39","Male","$20,000 - $39,999",38,0,60,"Donald Trump","MD","Republican","A few times a year","g"
166,0.02,1,"30-39","Male","$40,000 - $59,999",61,95,0,"Hillary Clinton","TX","Democrat","Never","g"
85,1,0.5,"18-29","Female","$40,000 - $59,999",36,67,0,"Donald Trump","WA","Republican","A few times a year","g"
65,1.46,0,"30-39","Male","Over $100,000",186,67,0,"Someone else","OH","Independent","Never","g"
523,1.11,0,"18-29","Male","$20,000 - $39,999",57,85,0,"Hillary Clinton","NM","Democrat","Never","g"
115,0.65,0,"30-39","Female","Over $100,000",58,100,5,"Hillary Clinton","CT","Independent","Never","g"
69,0.69,0,"18-29","Male","$20,000 - $39,999",25,75,0,"Hillary Clinton","CA","Democrat","Never","g"
195,1.63,0.2,"60-69","Male","$20,000 - $39,999",58,90,0,"Someone else","IL","Independent","Never","g"
38,1.89,0.5,"40-49","Female","$80,000 - $99,999",33,31,70,"Donald Trump","LA","Independent","A few times a year","g"
749,1.38,0.4,"18-29","Male","$20,000 - $39,999",223,8,53,"Donald Trump","NJ","Republican","Never","g"
75,0.92,0,"18-29","Male","$20,000 - $39,999",2575,50,0,"Didn't vote","MD","Independent","Never","g"
119,0.47,0,"30-39","Female","$40,000 - $59,999",104,100,9,"Hillary Clinton","MA","Democrat","Seldom","g"
100,1.3,0.1,"18-29","Male","$20,000 - $39,999",53,86,51,"Hillary Clinton","FL","Independent","Seldom","g"
85,0.4,0,"40-49","Female","$40,000 - $59,999",41,87,0,"Donald Trump","NY","Independent","Never","g"
121,0.04,0,"40-49","Male","$20,000 - $39,999",36,83,0,"Donald Trump","MN","Independent","Never","g"
197,1.29,0.4,"30-39","Female","$60,000 - $79,999",56,100,0,"Hillary Clinton","OH","Democrat","Never","g"
137,0.79,0,"18-29","Male","$20,000 - $39,999",35,81,0,"Hillary Clinton","MA","Independent","Never","g"
70,0.05,0.2,"40-49","Female","$40,000 - $59,999",59,50,16,"Didn't vote","OK","Independent","Seldom","g"
1503,0.6,1,"30-39","Male","$60,000 - $79,999",29,100,0,"Hillary Clinton","MA","Democrat","Never","g"
63,0.68,0.4,"30-39","Female","$40,000 - $59,999",34,19,52,"Someone else","CO","Republican","A few times a year","g"
127,1.86,0.4,"30-39","Female","$40,000 - $59,999",98,86,71,"Donald Trump","TX","Republican","A few times a year","g"
102,0.9,0,"40-49","Male","Under $20,000",53,60,0,"Didn't vote","MA","Democrat","Never","g"
249,0.49,0,"18-29","Male","$40,000 - $59,999",85,95,0,"Hillary Clinton","NJ","Democrat","Never","g"
72,1.57,1,"18-29","Male","Over $100,000",62,96,71,"Hillary Clinton","TX","Democrat","A few times a year","g"
107,1.09,0,"40-49","Female","Over $100,000",62,24,3,"Donald Trump","CO","Republican","Never","g"
168,1.83,0.8,"18-29","Female","Under $20,000",123,60,22,"Didn't vote","FL","Democrat","A few times a year","g"
489,1.15,0,"30-39","Male","$20,000 - $39,999",128,9,66,"Donald Trump","CO","Republican","Seldom","g"
143,0.24,1,"18-29","Female","$20,000 - $39,999",1763,87,0,"Didn't vote","NJ","Democrat","Never","g"
